"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2024","10,075","10,000","10,350","9,750","476.99M","0.75%"
"11/01/2024","10,000","10,275","10,575","9,800","1.54B","-2.44%"
"10/01/2024","10,250","10,400","10,875","10,150","1.50B","-0.73%"
"09/01/2024","10,325","10,375","10,950","10,125","1.63B","0.00%"
"08/01/2024","10,325","10,200","10,500","9,875","1.34B","0.49%"
"07/01/2024","10,275","9,850","10,425","9,800","1.38B","3.53%"
"06/01/2024","9,925","9,350","9,975","9,050","1.47B","7.30%"
"05/01/2024","9,250","9,900","9,900","8,775","2.44B","-5.61%"
"04/01/2024","9,800","10,075","10,100","9,250","1.98B","-2.73%"
"03/01/2024","10,075","9,900","10,400","9,750","1.50B","2.03%"
"02/01/2024","9,875","9,650","10,025","9,525","1.53B","3.40%"
"01/01/2024","9,550","9,400","9,775","9,300","1.51B","1.60%"
"12/01/2023","9,400","8,925","9,450","8,675","1.73B","4.74%"
"11/01/2023","8,975","8,750","9,075","8,600","1.44B","2.57%"
"10/01/2023","8,750","8,900","9,250","8,700","1.55B","-0.85%"
"09/01/2023","8,825","9,200","9,275","8,825","1.28B","-3.81%"
"08/01/2023","9,175","9,175","9,450","9,100","1.45B","0.55%"
"07/01/2023","9,125","9,025","9,400","9,025","1.32B","-0.27%"
"06/01/2023","9,150","9,150","9,325","8,950","1.03B","1.10%"
"05/01/2023","9,050","9,100","9,325","8,700","1.88B","0.00%"
"04/01/2023","9,050","8,825","9,200","8,650","1.06B","3.43%"
"03/01/2023","8,750","8,725","8,900","8,250","1.84B","0.00%"
"02/01/2023","8,750","8,575","8,950","8,400","1.28B","3.24%"
"01/01/2023","8,475","8,575","8,850","8,000","1.85B","-0.88%"
"12/01/2022","8,550","9,275","9,350","8,350","1.92B","-8.06%"
"11/01/2022","9,300","9,000","9,400","8,550","1.92B","5.68%"
"10/01/2022","8,800","8,450","8,900","8,125","1.68B","2.92%"
"09/01/2022","8,550","8,150","8,875","8,125","2.37B","4.27%"
"08/01/2022","8,200","7,350","8,275","7,350","2.04B","11.56%"
"07/01/2022","7,350","7,300","7,475","7,000","1.42B","1.38%"
"06/01/2022","7,250","7,625","7,675","7,250","1.99B","-6.45%"
"05/01/2022","7,750","7,875","7,900","7,250","2.61B","-4.62%"
"04/01/2022","8,125","8,075","8,250","7,625","1.71B","1.88%"
"03/01/2022","7,975","8,000","8,300","7,650","2.25B","-0.93%"
"02/01/2022","8,050","7,775","8,175","7,650","1.31B","5.57%"
"01/01/2022","7,625","7,325","7,950","7,300","1.47B","4.45%"
"12/01/2021","7,300","7,275","7,525","7,275","1.28B","0.34%"
"11/01/2021","7,275","7,550","7,750","7,175","1.54B","-2.68%"
"10/01/2021","7,475","6,900","8,250","6,710","2.02B","6.79%"
"09/01/2021","7,000","6,550","7,000","6,410","1.47B","6.87%"
"08/01/2021","6,550","6,060","6,760","5,905","1.77B","9.72%"
"07/01/2021","5,970","6,060","6,190","5,960","1.22B","-0.91%"
"06/01/2021","6,025","6,500","6,620","6,000","1.58B","-5.49%"
"05/01/2021","6,375","6,480","6,500","6,260","1.68B","-0.47%"
"04/01/2021","6,405","6,215","6,460","5,980","1.97B","3.06%"
"03/01/2021","6,215","6,830","7,160","6,145","2.37B","-7.38%"
"02/01/2021","6,710","6,760","7,055","6,595","1.41B","-0.74%"
"01/01/2021","6,760","6,800","7,380","6,705","1.83B","-0.15%"
"12/01/2020","6,770","6,220","7,000","6,220","2.01B","9.11%"
"11/01/2020","6,205","5,760","6,650","5,720","2.53B","7.17%"
"10/01/2020","5,790","5,485","5,900","5,440","1.46B","6.83%"
"09/01/2020","5,420","6,280","6,560","5,390","2.82B","-13.63%"
"08/01/2020","6,275","6,220","6,600","5,825","1.10B","0.56%"
"07/01/2020","6,240","5,700","6,265","5,675","1.50B","9.57%"
"06/01/2020","5,695","5,260","5,995","5,240","2.22B","9.73%"
"05/01/2020","5,190","5,150","5,400","4,680","2.38B","0.39%"
"04/01/2020","5,170","5,560","6,100","4,800","2.55B","-6.43%"
"03/01/2020","5,525","6,290","6,540","4,325","3.77B","-12.16%"
"02/01/2020","6,290","6,480","6,820","6,035","2.12B","-2.93%"
"01/01/2020","6,480","6,695","7,060","6,480","1.55B","-3.07%"
"12/01/2019","6,685","6,280","6,800","6,270","1.28B","6.45%"
"11/01/2019","6,280","6,300","6,380","6,210","1.30B","-0.16%"
"10/01/2019","6,290","6,010","6,325","5,950","1.25B","3.62%"
"09/01/2019","6,070","6,100","6,105","5,780","1.26B","-0.49%"
"08/01/2019","6,100","6,190","6,270","5,765","1.53B","-1.45%"
"07/01/2019","6,190","5,995","6,290","5,865","1.05B","3.25%"
"06/01/2019","5,995","6,000","6,190","5,790","1.18B","3.01%"
"05/01/2019","5,820","5,800","5,895","5,140","1.70B","1.22%"
"04/01/2019","5,750","5,550","5,805","5,450","1.15B","3.60%"
"03/01/2019","5,550","5,565","5,600","5,425","1.17B","0.63%"
"02/01/2019","5,515","5,680","5,750","5,335","1.49B","-2.13%"
"01/01/2019","5,635","5,200","5,640","5,115","1.86B","8.37%"
"12/01/2018","5,200","5,215","5,395","4,980","1.70B","-0.19%"
"11/01/2018","5,210","4,770","5,240","4,670","1.94B","10.15%"
"10/01/2018","4,730","4,800","4,840","4,435","1.44B","-2.07%"
"09/01/2018","4,830","5,010","5,040","4,720","1.45B","-2.62%"
"08/01/2018","4,960","4,680","5,095","4,605","1.71B","6.55%"
"07/01/2018","4,655","4,330","4,725","4,120","1.44B","8.38%"
"06/01/2018","4,295","4,590","4,630","4,165","1.30B","-5.40%"
"05/01/2018","4,540","4,420","4,610","4,295","1.73B","2.71%"
"04/01/2018","4,420","4,690","4,730","4,210","1.35B","-5.15%"
"03/01/2018","4,660","4,620","4,760","4,505","1.85B","0.54%"
"02/01/2018","4,635","4,570","4,940","4,570","1.47B","1.98%"
"01/01/2018","4,545","4,380","4,690","4,265","1.69B","3.77%"
"12/01/2017","4,380","4,165","4,550","4,130","1.40B","7.62%"
"11/01/2017","4,070","4,200","4,325","4,070","1.78B","-2.63%"
"10/01/2017","4,180","4,110","4,275","4,010","1.67B","2.96%"
"09/01/2017","4,060","3,795","4,075","3,735","1.49B","7.12%"
"08/01/2017","3,790","3,775","3,840","3,700","1.11B","1.34%"
"07/01/2017","3,740","3,680","3,800","3,615","1.52B","3.03%"
"06/01/2017","3,630","3,485","3,665","3,465","1.89B","5.83%"
"05/01/2017","3,430","3,550","3,710","3,360","3.12B","-3.38%"
"04/01/2017","3,550","3,315","3,600","3,315","1.79B","7.25%"
"03/01/2017","3,310","3,080","3,400","3,070","2.25B","7.12%"
"02/01/2017","3,090","3,100","3,140","3,000","1.28B","0.98%"
"01/01/2017","3,060","3,100","3,175","2,990","1.06B","-1.29%"
"12/01/2016","3,100","2,860","3,110","2,825","1.93B","8.39%"
"11/01/2016","2,860","3,100","3,130","2,790","2.33B","-7.89%"
"10/01/2016","3,105","3,190","3,240","3,070","1.53B","-1.11%"
"09/01/2016","3,140","2,970","3,200","2,960","2.11B","4.32%"
"08/01/2016","3,010","2,875","3,100","2,875","2.50B","4.15%"
